"FM" "FM.2" "RM" "VOM" "P.M" "P.Sp"
"1" 0.844 0.865 0.873 0.846 0.909 0.9
"2" 0.843 0.872 0.861 0.882882882882883 0.909 0.899
"3" 0.84 0.868 0.868 0.865 0.897 0.897
"4" 0.844 0.867 0.866 0.87 0.897 0.905
"5" 0.84 0.859 0.869 0.878 0.907 0.905
"6" 0.847 0.859 0.858 0.876123876123876 0.905 0.919
"7" 0.846 0.877 0.862 0.877 0.91 0.912
"8" 0.853 0.867 0.857 0.881 0.916 0.906
"9" 0.855 0.865 0.876 0.844 0.891 0.907
"10" 0.857 0.84 0.865 0.858 0.914 0.919
"11" 0.853 0.865 0.865 0.88 0.905 0.911
"12" 0.852 0.871 0.872 0.861 0.911 0.92
"13" 0.847 0.875 0.861 0.856 0.907 0.906
"14" 0.855 0.858 0.864 0.864 0.907 0.918
"15" 0.847 0.836 0.857 0.853 0.897 0.924
"16" 0.854 0.853 0.871 0.879 0.907 0.914
"17" 0.825 0.86 0.853 0.884 0.911 0.901
"18" 0.842 0.856 0.865 0.823 0.907 0.909
"19" 0.852 0.87 0.861 0.883 0.917 0.901
"20" 0.86 0.871 0.867 0.855 0.913 0.915
